一网打尽 (yi1,wang3,da3,jin4)
载一抱素 (zai4,yi1,bao4,su4)
草甸子 (cao3,dian4,zi3)
数典忘祖 (shu3,dian3,wang4,zu3)
以骨去蚁 (yi3,gu3,qu4,yi3)
龙章秀骨 (long2,zhang1,xiu4,gu3)
出奇划策 (chu1,qi2,hua2,ce4)
相切相磋 (xiang1,qie1,xiang1,cuo1)
钉齿耙 (ding1,chi3,ba4)
怨女旷夫 (yuan4,nv3,kuang4,fu1)
模模糊糊 (mo2,mo2,hu5,hu1)
露一手 (lou4,yi1,shou3)
草绿 (cao3,lv4)
内藏 (nei4,cang2)
刻骨镂心 (ke4,gu3,lou4,xin1)
绿惨红销 (lv4,can3,hong2,xiao1)
挣揣 (zheng4,chuai4)
钻懒帮闲 (zuan1,lan3,bang1,xian2)
识破 (shi2,po4)
子囊 (zi3,nang2)
铺子 (pu4,zi3)
调焦 (tiao2,jiao1)
地久天长 (di4,jiu3,tian1,chang2)
女郎 (nv3,lang2)
一坐尽惊 (yi1,zuo4,jin4,jing1)
戴头识脸 (dai4,tou2,shi2,lian3)
持人长短 (chi2,ren2,chang2,duan3)
扫墓望丧 (sao3,mu4,wang4,sang4)
地塞米松 (di4,sai1,mi3,song1)
犯得上 (fan4,dei3,shang4)
鱼书雁帖 (yu2,shu1,yan4,tie3)
胸有成略 (xiong1,you3,cheng2,lve4)
从长计较 (cong2,chang2,ji4,jiao4)
详略 (xiang2,lve4)
各有所长 (ge4,you3,suo3,chang2)
弓折刀尽 (gong1,zhe2,dao1,jin4)
利率 (li4,lv4)
长话短说 (chang2,hua4,duan3,shuo1)
青山绿水 (qing1,shan1,lv4,shui3)
骚情赋骨 (sao1,qing2,fu4,gu3)
逼供信 (bi1,gong4,xin4)
豆萁相煎 (dou4,qi2,xiang1,jian1)
戏报子 (xi4,bao4,zi3)
百读不厌 (bai3,du2,bu4,yan4)
换帖 (huan4,tie3)
簿子 (bu4,zi3)
鼓衰力尽 (gu3,shuai1,li4,jin4)
韫椟藏珠 (yun4,du2,cang2,zhu1)
见多识广 (jian4,duo1,shi2,guang3)
三头六臂 (san1,tou2,liu4,bi4)
安步当车 (an1,bu4,dang4,che1)
远虑深谋 (yuan3,lv4,shen1,mou2)
为民请命 (wei4,min2,qing3,ming4)
三头八臂 (san1,tou2,ba1,bi4)
说来话长 (shuo1,lai2,hua4,chang2)
谓予不信 (wei4,yu2,bu4,xin4)
松形鹤骨 (song1,xing2,he4,gu3)
面有难色 (mian4,you3,nan2,se4)
头骨 (tou2,gu3)
蒜头 (suan4,tou2)
利用 (li4,yong4)
掺和 (chan1,huo5)
子女 (zi3,nv3)
兴趣盎然 (xing4,qu4,ang4,ran2)
江淹才尽 (jiang1,yan1,cai2,jin4)
哗众取宠 (hua2,zhong4,qu3,chong3)
调理 (tiao2,li3)
弹性体 (tan2,xing4,ti3)
共识 (gong4,shi2)
出笼 (chu1,long2)
不识一丁 (bu4,shi2,yi1,ding1)
文子文孙 (wen2,zi3,wen2,sun1)
藏头亢脑 (cang2,tou2,kang4,nao3)
沙鸥翔集 (sha1,ou1,xiang2,ji2)
长乐 (chang2,le4)
长久 (chang2,jiu3)
鼠肝虫臂 (shu3,gan1,chong2,bi4)
逗闷子 (dou4,men4,zi3)
销差 (xiao1,cha4)
长于 (chang2,yu2)
恨之入骨 (hen4,zhi1,ru4,gu3)
钉头磷磷 (ding1,tou2,lin2,lin2)
通才练识 (tong1,cai2,lian4,shi2)
长亭 (chang2,ting2)
孙女 (sun1,nv3)
钱柜 (qian2,gui4)
风行草靡 (feng1,xing2,cao3,mi2)
饿殍载道 (e4,piao3,zai4,dao4)
凌上虐下 (ling2,shang4,nve4,xia4)
浩气长存 (hao4,qi4,chang2,cun2)
一呼再喏 (yi1,hu1,zai4,nuo4)
铄古切今 (shuo4,gu3,qie1,jin1)
冬藏 (dong1,cang2)
孝女 (xiao4,nv3)
柏油路 (bai3,you2,lu4)
荫翳 (yin1,yi4)
相失交臂 (xiang1,shi1,jiao1,bi4)
侯服玉食 (hou2,fu2,yu4,shi2)
子孙 (zi3,sun1)
平地一声雷 (ping2,di4,yi1,sheng1,lei2)
保险柜 (bao3,xian3,gui4)
取长补短 (qu3,chang2,bu3,duan3)
卖劲 (mai4,jin4)
长夜难明 (chang2,ye4,nan2,ming2)
绿叶成阴 (lv4,ye4,cheng2,yin1)
妇女节 (fu4,nv3,jie2)
无迹可求 (wu2,ji4,ke3,qiu2)
姓解 (xing4,xie4)
孤女 (gu1,nv3)
立于不败之地 (li4,yu2,bu4,bai4,zhi1,di4)
落魄不偶 (luo4,po4,bu4,ou3)
尽入彀中 (jin4,ru4,gou4,zhong1)
兴趣 (xing4,qu4)
从风而靡 (cong2,feng1,er2,mi2)
靡然顺风 (mi2,ran2,shun4,feng1)
远愁近虑 (yuan3,chou2,jin4,lv4)
制服呢 (zhi4,fu2,ne5)
枝附叶著 (zhi1,fu4,ye4,zhuo2)
冷藏 (leng3,cang2)
单县 (shan4,xian4)
瘦骨嶙峋 (shou4,gu3,lin2,xun2)
施绯拖绿 (shi1,fei1,tuo1,lv4)
碎身粉骨 (sui4,shen1,fen3,gu3)
铁柜 (tie3,gui4)
社会意识 (she4,hui4,yi4,shi2)
南吕 (nan2,lv3)
同音共律 (tong2,yin1,gong4,lv4)
明人不做暗事 (ming2,ren2,bu4,zuo4,an4,shi4)
切糕 (qie1,gao1)
拜将封侯 (bai4,jiang4,feng1,hou2)
高足弟子 (gao1,zu2,di4,zi3)
划算 (hua2,suan4)
瘦骨嶙嶙 (shou4,gu3,lin2,lin2)
道尽涂穷 (dao4,jin4,tu2,qiong2)
溘然长往 (ke4,ran2,chang2,wang3)
长才短驭 (chang2,cai2,duan3,yu4)
张牙舞爪 (zhang1,ya2,wu3,zhao3)
攘臂一呼 (rang3,bi4,yi1,hu1)
寸长尺技 (cun4,chang2,chi3,ji4)
匿影藏形 (ni4,ying3,cang2,xing2)
大处落墨 (da4,chu4,luo4,mo4)
识羞 (shi2,xiu1)
长剑 (chang2,jian4)
学子 (xue2,zi3)
背带裤 (bei1,dai4,ku4)
背带裙 (bei1,dai4,qun2)
慢藏诲盗 (man4,cang2,hui4,dao4)
佛门弟子 (fo2,men2,di4,zi3)
割臂之盟 (ge1,bi4,zhi1,meng2)
荷枪实弹 (he4,qiang1,shi2,dan4)
比干 (bi3,gan1)
有其父必有其子 (you3,qi2,fu4,bi4,you3,qi2,zi3)
尽诚竭节 (jin4,cheng2,jie2,jie2)
调良稳泛 (tiao2,liang2,wen3,fan4)
擢筋割骨 (zhuo2,jin1,ge1,gu3)
方头不律 (fang1,tou2,bu4,lv4)
噼里啪啦 (pi1,li3,pa1,la1)
分给 (fen1,gei3)
切结 (qie1,jie2)
法律行为 (fa3,lv4,xing2,wei2)
固有频率 (gu4,you3,pin2,lv4)
子弟 (zi3,di4)
长卷 (chang2,juan4)
女教师 (nv3,jiao4,shi1)
乐尽哀生 (le4,jin4,ai1,sheng1)
子女玉帛 (zi3,nv3,yu4,bo2)
镐头 (gao3,tou2)
为虎添翼 (wei4,hu3,tian1,yi4)
排律 (pai2,lv4)
将进酒 (qiang1,jin4,jiu3)
长叹 (chang2,tan4)
长号 (chang2,hao4)
尽全力 (jin4,quan2,li4)
长句 (chang2,ju4)
千虑一得 (qian1,lv4,yi1,de2)
淋漓尽致 (lin2,li2,jin4,zhi4)
毛森骨立 (mao2,sen1,gu3,li4)
长吟 (chang2,yin2)
若有所丧 (ruo4,you3,suo3,sang4)
仙风道骨 (xian1,feng1,dao4,gu3)
长命 (chang2,ming4)
嫌长道短 (xian2,chang2,dao4,duan3)
急急如律令 (ji2,ji2,ru2,lv4,ling4)
荫蔽 (yin1,bi4)
袒裼裸裎 (tan3,xi1,luo3,cheng2)
葛根 (ge2,gen1)
误人子弟 (wu4,ren2,zi3,di4)
孝子贤孙 (xiao4,zi3,xian2,sun1)
插头 (cha1,tou2)
长啸 (chang2,xiao4)
钻洞 (zuan1,dong4)
包扎 (bao1,za1)
傫如丧狗 (lei3,ru2,sang4,gou3)
无尽无穷 (wu2,jin4,wu2,qiong2)
贞女 (zhen1,nv3)
勘查 (kan1,cha2)
如丧考妣 (ru2,sang4,kao3,bi3)
刮骨抽筋 (gua1,gu3,chou1,jin1)
说短论长 (shuo1,duan3,lun4,chang2)
仁至义尽 (ren2,zhi4,yi4,jin4)
死亡率 (si3,wang2,lv4)
安室利处 (an1,shi4,li4,chu4)
儿女之情 (er2,nv3,zhi1,qing2)
饥寒交切 (ji1,han2,jiao1,qie1)
含垢藏瑕 (han2,gou4,cang2,xia2)
鳞爪 (lin2,zhao3)
低声哑气 (di1,sheng1,ya3,qi4)
开绿灯 (kai1,lv4,deng1)
大模大样 (da4,mo2,da4,yang4)
长圆 (chang2,yuan2)
易子而食 (yi4,zi3,er2,shi2)
电功率 (dian4,gong1,lv4)
切花 (qie1,hua1)
山长水远 (shan1,chang2,shui3,yuan3)
长坂 (chang2,ban3)
碎骨粉身 (sui4,gu3,fen3,shen1)
特长 (te4,chang2)
卒子 (zu2,zi3)
长城 (chang2,cheng2)
室女 (shi4,nv3)
宽豁大度 (kuan1,huo1,da4,du4)
绝处逢生 (jue2,chu4,feng2,sheng1)
划船 (hua2,chuan2)
予取予夺 (yu2,qu3,yu2,duo2)
划艇 (hua2,ting3)
智藏瘝在 (zhi4,cang2,guan1,zai4)
儿媳妇儿 (er2,xi2,fu4,er2)
脱胎换骨 (tuo1,tai1,huan4,gu3)
一鳞半爪 (yi1,lin2,ban4,zhao3)
起兴 (qi3,xing4)
如切如磋 (ru2,qie1,ru2,cuo1)
墨迹未干 (mo4,ji4,wei4,gan1)
莘莘 (shen1,shen1)
才识 (cai2,shi2)
调级 (tiao2,ji2)
掠地攻城 (lve4,di4,gong1,cheng2)
宫女 (gong1,nv3)
长夏 (chang2,xia4)
长夜 (chang2,ye4)
乱弹琴 (luan4,tan2,qin2)
长天 (chang2,tian1)
长长短短 (chang2,chang2,duan3,duan3)
害处 (hai4,chu4)
长女 (zhang3,nv3)
鞭擗进里 (bian1,pi4,jin4,li3)
长眠不起 (chang2,mian2,bu4,qi3)
调羹 (tiao2,geng1)
卵壳 (luan3,ke2)
鸟乱 (niao3,luan4)
握拳透爪 (wo4,quan2,tou4,zhao3)
敲骨榨髓 (qiao1,gu3,zha4,sui3)
鸟事 (niao3,shi4)
虎骨酒 (hu3,gu3,jiu3)
浪子回头 (lang4,zi3,hui2,tou2)
冢中枯骨 (zhong3,zhong1,ku1,gu3)
功率 (gong1,lv4)
瑟调琴弄 (se4,tiao2,qin2,nong4)
病骨支离 (bing4,gu3,zhi1,li2)
同归于尽 (tong2,gui1,yu2,jin4)
长枕大衾 (chang2,zhen3,da4,qin1)
履机乘变 (lv3,ji1,cheng2,bian4)
长枕大被 (chang2,zhen3,da4,bei4)
努瓦克肖特 (nu3,wa3,ke4,xiao1,te4)
不识局面 (bu4,shi2,ju2,mian4)
娱妻弄子 (yu2,qi1,nong4,zi3)
长存 (chang2,cun2)
靡然乡风 (mi2,ran2,xiang1,feng1)
对劲 (dui4,jin4)
研精竭虑 (yan2,jing1,jie2,lv4)
初生牛犊不怕虎 (chu1,sheng1,niu2,du2,bu4,pa4,hu3)
入骨 (ru4,gu3)
鲜绿 (xian1,lv4)
长安 (chang2,an1)
知子莫若父 (zhi1,zi3,mo4,ruo4,fu4)
拾掇无遗 (shi2,duo1,wu2,yi2)
入骨相思 (ru4,gu3,xiang1,si1)
万载千秋 (wan4,zai4,qian1,qiu1)
品竹弹丝 (pin3,zhu2,tan2,si1)
更待干罢 (geng4,dai4,gan1,ba4)
挑眼 (tiao1,yan3)
沦丧 (lun2,sang4)
老相识 (lao3,xiang1,shi2)
长寿 (chang2,shou4)
穿红着绿 (chuan1,hong2,zhuo2,lv4)
识见 (shi2,jian4)
长局 (chang2,ju2)
黏皮带骨 (nian2,pi2,dai4,gu3)
冗长 (rong3,chang2)
原子能 (yuan2,zi3,neng2)
调节 (tiao2,jie2)
赶尽杀绝 (gan3,jin4,sha1,jue2)
调色 (tiao2,se4)
殷殷 (yin1,yin1)
家将 (jia1,jiang4)
子虚乌有 (zi3,xu1,wu1,you3)
讹误 (e2,wu4)
长崎 (chang2,qi2)
存查 (cun2,cha2)
不识人间有羞耻事 (bu4,shi2,ren2,jian1,you3,xiu1,chi3,shi4)
今蝉蜕壳 (jin1,chan2,tui4,ke2)
红愁绿惨 (hong2,chou2,lv4,can3)
那阵儿 (na4,zhen4,er2)
揭帖 (jie1,tie3)
天地长久 (tian1,di4,chang2,jiu3)
厂子 (chang3,zi3)
饮食男女 (yin3,shi2,nan2,nv3)
切树倒根 (qie1,shu4,dao3,gen1)
儿女亲家 (er2,nv3,qing4,jia1)
寒腹短识 (han2,fu4,duan3,shi2)
攒眉蹙额 (cuan2,mei2,cu4,e2)
长川 (chang2,chuan1)
惨绿少年 (can3,lv4,shao4,nian2)
擿奸发伏 (ti1,jian1,fa1,fu2)
龙游曲沼 (long2,you2,qu1,zhao3)
徒子徒孙 (tu2,zi3,tu2,sun1)
长工 (chang2,gong1)
划行 (hua2,xing2)
煞风景 (sha1,feng1,jing3)
铭肤镂骨 (ming2,fu1,lou4,gu3)
弃之度外 (qi4,zhi1,du4,wai5)
王八羔子 (wang2,ba1,gao1,zi3)
长年 (chang2,nian2)
倚闾望切 (yi3,lv2,wang4,qie1)
长庚 (chang2,geng1)
拨给 (bo1,gei3)
尖削 (jian1,xiao1)
长度 (chang2,du4)
掎裳连袂 (ji3,chang2,lian2,mei4)
前臂 (qian2,bi4)
冒顿 (mo4,du2)
长廊 (chang2,lang2)
避迹藏时 (bi4,ji4,cang2,shi2)
露馅儿 (lou4,xian4,er2)
韬光隐迹 (tao1,guang1,yin3,ji4)
扫地俱尽 (sao3,di4,ju4,jin4)
俛拾仰取 (fu3,shi2,yang3,qu3)
百闻不如一见 (bai3,wen2,bu4,ru2,yi1,jian4)
历尽 (li4,jin4)
寸长尺短 (cun4,chang2,chi3,duan3)
无迹可寻 (wu2,ji4,ke3,xun2)
搔到痒处 (sao1,dao4,yang3,chu4)
调词架讼 (tiao2,ci2,jia4,song4)
惊魂丧魄 (jing1,hun2,sang4,po4)
长征 (chang2,zheng1)
留恋不舍 (liu2,lian4,bu4,she3)
形销骨立 (xing2,xiao1,gu3,li4)
悲声载道 (bei1,sheng1,zai4,dao4)
黄冠野服 (huang2,guan4,ye3,fu2)
识变从宜 (shi2,bian4,cong2,yi2)
识货 (shi2,huo4)
不偢不倸 (bu4,chou3,bu4,cai3)
没劲 (mei2,jin4)
计量 (ji4,liang4)
挂累 (gua4,lei4)
刻肌刻骨 (ke4,ji1,ke4,gu3)
马入华山 (ma3,ru4,hua4,shan1)
子孝父慈 (zi3,xiao4,fu4,ci2)
识趣 (shi2,qu4)
长性 (chang2,xing4)
钻研 (zuan1,yan2)
闯劲 (chuang3,jin4)
颜丹鬓绿 (yan2,dan1,bin4,lv4)
蔽塞 (bi4,sai1)
答讪 (da1,shan4)
内掌柜 (nei4,zhang3,gui4)
割骨疗亲 (ge1,gu3,liao2,qin1)
沙哑 (sha1,ya3)
豆绿 (dou4,lv4)
负债累累 (fu4,zhai4,lei3,lei3)
绝长续短 (jue2,chang2,xu4,duan3)
不识东家 (bu4,shi2,dong1,jia1)
拿给 (na2,gei3)
智穷才尽 (zhi4,qiong2,cai2,jin4)
占据 (zhan4,ju4)
叫劲 (jiao4,jin4)
平均差 (ping2,jun1,cha4)
塞纳河 (sai1,na4,he2)
方枘圜凿 (fang1,rui4,huan2,zao2)
兔角龟毛 (tu4,jiao3,gui1,mao2)
去处 (qu4,chu4)
万无一失 (wan4,wu2,yi1,shi1)
承载 (cheng2,zai4)
尽兴 (jin4,xing4)
整冠纳履 (zheng3,guan4,na4,lv3)
交臂相失 (jiao1,bi4,xiang1,shi1)
不务正业 (bu4,wu4,zheng4,ye4)
叨叨 (dao1,dao5)
吓人 (xia4,ren2)
风骨峭峻 (feng1,gu3,qiao4,jun4)
干啼湿哭 (gan1,ti2,shi1,ku1)
胳膊腕子 (ge1,bo5,wan4,zi3)
长拳 (chang2,quan2)
哗世动俗 (hua2,shi4,dong4,su2)
地骨皮 (di4,gu3,pi2)
闷葫芦 (men4,hu2,lu2)
叨咕 (dao2,gu5)
尽力 (jin4,li4)
染神刻骨 (ran3,shen2,ke4,gu3)
长揖 (chang2,yi1)
叨唠 (dao1,lao5)
调解 (tiao2,jie3)
泄劲 (xie4,jin4)
衡短论长 (heng2,duan3,lun4,chang2)
足不履影 (zu2,bu4,lv3,ying3)
膏腴子弟 (gao1,yu2,zi3,di4)
铁笼 (tie3,long2)
单杠 (dan1,gang4)
号召 (hao4,zhao4)
略见一斑 (lve4,jian4,yi1,ban1)
收藏家 (shou1,cang2,jia1)
吃劲 (chi1,jin4)
绳愆纠缪 (sheng2,qian1,jiu1,miu4)
陨身糜骨 (yun3,shen1,mi2,gu3)
小女 (xiao3,nv3)
友风子雨 (you3,feng1,zi3,yu3)
冲冠眦裂 (chong1,guan4,zi4,lie4)
荥阳 (xing2,yang2)
货柜 (huo4,gui4)
浮动汇率 (fu2,dong4,hui4,lv4)
谎言 (huang3,yan2)
干瞪眼 (gan1,deng4,yan3)
子子孙孙 (zi3,zi3,sun1,sun1)
枝附叶着 (zhi1,fu4,ye4,zhuo2)
初生之犊不畏虎 (chu1,sheng1,zhi1,du2,bu4,wei4,hu3)
号哭 (hao4,ku1)
大璞不完 (tai4,pu2,bu4,wan2)
过滤嘴 (guo4,lv4,zui3)
长斋 (chang2,zhai1)
划过 (hua2,guo4)
口谐辞给 (kou3,xie2,ci2,gei3)
吁吁 (xu1,xu1)
临危不惧 (lin2,wei1,bu4,ju4)
狭长 (xia2,chang2)
后劲 (hou4,jin4)
审查 (shen3,cha2)
调谐 (tiao2,xie2)
调谑 (tiao2,xue4)
分量 (fen4,liang4)
浇醇散朴 (jiao1,chun2,san4,pu3)
扁骨 (bian3,gu3)
扬长 (yang2,chang2)
一差二错 (yi1,cha4,er4,cuo4)
叉子 (cha1,zi3)
男盗女娼 (nan2,dao4,nv3,chang1)
风禾尽起 (feng1,he2,jin4,qi3)
无寇暴死 (wu2,kou4,bao4,si3)
整旅厉卒 (zheng3,lv3,li4,zu2)
供不应求 (gong1,bu4,ying4,qiu2)
胶鬲之困 (jiao1,ge2,zhi1,kun4)
磨砻镌切 (mo2,long2,juan1,qie1)
超市 (chao1,shi4)
铺盖 (pu1,gai4)
嫩绿 (nen4,lv4)
绿鬓红颜 (lv4,bin4,hong2,yan2)
扇骨 (shan4,gu3)
少子 (shao3,zi3)
从长商议 (cong2,chang2,shang1,yi4)
鹤短凫长 (he4,duan3,fu2,chang2)
长机 (chang2,ji1)
地窨子 (di4,yin4,zi3)
长期 (chang2,qi1)
调资 (tiao2,zi1)
抽筋拔骨 (chou1,jin1,ba2,gu3)
一无所得 (yi1,wu2,suo3,de2)
长条 (chang2,tiao2)
面红面绿 (mian4,hong2,mian4,lv4)
都俞吁咈 (dou1,yu2,xu1,fu2)
间不容瞚 (jian1,bu4,rong2,shun4)
闷头 (men4,tou2)
长枪 (chang2,qiang1)
少将 (shao4,jiang4)
水柜 (shui3,gui4)
比率 (bi3,lv4)
卷曲 (juan3,qu1)
吆喝 (yao1,he5)
挣脱 (zheng4,tuo1)
藏书 (cang2,shu1)
降伏 (xiang2,fu2)
用劲 (yong4,jin4)
鬻儿卖女 (yu4,er2,mai4,nv3)
力臂 (li4,bi4)
油干灯尽 (you2,gan1,deng1,jin4)
历数 (li4,shu3)
各尽所能 (ge4,jin4,suo3,neng2)
呴湿濡沫 (xu3,shi1,ru2,mo4)
闺女 (gui1,nv3)
否则 (fou3,ze2)
刁钻 (diao1,zuan1)
纳垢藏污 (na4,gou4,cang2,wu1)
尥蹶子 (liao4,jue2,zi3)
梨园子弟 (li2,yuan2,zi3,di4)
班禅 (ban1,chan2)
肉颤心惊 (rou4,chan4,xin1,jing1)
超今冠古 (chao1,jin1,guan4,gu3)
吓唬 (xia4,hu5)
良贾深藏 (liang2,jia3,shen1,cang2)
葛粉 (ge2,fen3)
随珠弹雀 (sui2,zhu1,tan2,que4)
反差 (fan3,cha4)
切理厌心 (qie1,li3,yan4,xin1)
识微见几 (shi2,wei1,jian4,ji3)
智尽能索 (zhi4,jin4,neng2,suo3)
子畜 (zi3,chu4)
劳动生产率 (lao2,dong4,sheng1,chan3,lv4)
旷日长久 (kuang4,ri4,chang2,jiu3)
魂消魄丧 (hun2,xiao1,po4,sang4)
调适 (tiao2,shi4)
一边倒 (yi1,bian1,dao3)
除丧 (chu2,sang4)
灯笼裤 (deng1,long2,ku4)
恕不奉陪 (shu4,bu4,feng4,pei2)
振臂 (zhen4,bi4)
睡懒觉 (shui4,lan3,jue2)
尽头 (jin4,tou2)
叽里呱啦 (ji1,li3,gua1,la1)
吧台 (ba1,tai2)
吡咯 (bi3,ge1)
奔走钻营 (ben1,zou3,zuan1,ying2)
钻木取火 (zuan4,mu4,qu3,huo3)
扼腕长叹 (e4,wan4,chang2,tan4)
成千累万 (cheng2,qian1,lei4,wan4)
分际 (fen4,ji4)
铁臂 (tie3,bi4)
切除 (qie1,chu2)
刹那 (cha4,na4)
各处 (ge4,chu4)
触类而长 (chu4,lei4,er2,chang2)
量体裁衣 (liang4,ti3,cai2,yi1)
铜绿 (tong2,lv4)
吧唧 (ba1,ji1)
直言不讳 (zhi2,yan2,bu4,hui4)
洗手不干 (xi3,shou3,bu4,gan4)
长毛 (chang2,mao2)
切面 (qie1,mian4)
号子 (hao4,zi3)
悬梁刺骨 (xuan2,liang2,ci4,gu3)
投降 (tou2,xiang2)
遗物识心 (yi2,wu4,shi2,xin1)
吧嗒 (ba1,da1)
吵吵 (chao1,chao5)
长汀 (chang2,ting1)
尽孝 (jin4,xiao4)
长江 (chang2,jiang1)
钻营 (zuan1,ying2)
回黄转绿 (hui2,huang2,zhuan3,lv4)
长沙 (chang2,sha1)
日长一线 (ri4,chang2,yi1,xian4)
权倾中外 (quan2,qing1,zhong1,wai5)
长河 (chang2,he2)
翻箱倒笼 (fan1,xiang1,dao3,long2)
闷沉沉 (men4,chen2,chen2)
念念不忘 (nian4,nian4,bu4,wang4)
长法 (chang2,fa3)
薄层 (bao2,ceng2)
识涂老马 (shi2,tu2,lao3,ma3)
藏匿 (cang2,ni4)
搜查 (sou1,cha2)
长波 (chang2,bo1)
帏薄不修 (wei2,bao2,bu4,xiu1)
逸兴云飞 (yi4,xing4,yun2,fei1)
钻天杨 (zuan1,tian1,yang2)
长活 (chang2,huo2)
东鳞西爪 (dong1,lin2,xi1,zhao3)
闾巷 (lv2,xiang4)
行色怱怱 (xing2,se4,cong1,cong1)
桑荫未移 (sang1,yin1,wei4,yi2)
长流 (chang2,liu2)
修鳞养爪 (xiu1,lin2,yang3,zhao3)
壶里乾坤 (hu2,li3,qian2,kun1)
名媛 (ming2,yuan4)
合子 (he2,zi3)
一无所有 (yi1,wu2,suo3,you3)
槁苏暍醒 (gao3,su1,ye1,xing3)
千金市骨 (qian1,jin1,shi4,gu3)
刁钻刻薄 (diao1,zuan1,ke4,bo2)
鼎鼐调和 (ding3,nai4,tiao2,he2)
筋骨 (jin1,gu3)
葱绿 (cong1,lv4)
抖颤 (dou3,chan4)
难舍难分 (nan2,she3,nan2,fen1)
甥女 (sheng1,nv3)
有一些 (you3,yi1,xie1)
以讹传讹 (yi3,e2,chuan2,e2)
叨念 (dao1,nian4)
应名儿 (ying4,ming2,er2)
黄钟大吕 (huang2,zhong1,da4,lv3)
无穷无尽 (wu2,qiong2,wu2,jin4)
水尽鹅飞 (shui3,jin4,e2,fei1)
刨除 (pao2,chu2)
引短推长 (yin3,duan3,tui1,chang2)
乐尽悲来 (le4,jin4,bei1,lai2)
拉捭摧藏 (la1,bai3,cui1,cang2)
眼不见为净 (yan3,bu4,jian4,wei2,jing4)
洗发 (xi3,fa4)
鹿死不择荫 (lu4,si3,bu4,ze2,yin1)
积毁销骨 (ji1,hui3,xiao1,gu3)
赶鸭子上架 (gan3,ya1,zi1,shang4,jia4)
塞擦音 (sai1,ca1,yin1)
略无忌惮 (lve4,wu2,ji4,dan4)
吧女 (ba1,nv3)
挑毛拣刺 (tiao1,mao2,jian3,ci4)
德浅行薄 (de2,qian3,xing2,bao2)
薄待 (bo2,dai4)
攀供 (pan1,gong4)
轻徭薄税 (qing1,yao2,bao2,shui4)
内峻外和 (nei4,jun4,wai5,he2)
挑茶斡刺 (tiao1,cha2,wo4,ci4)
三年五载 (san1,nian2,wu3,zai4)
吱声 (zhi1,sheng1)
推聋作哑 (tui1,long2,zuo4,ya3)
日长似岁 (ri4,chang2,si4,sui4)
男女 (nan2,nv3)
尽心 (jin4,xin1)
尽忠 (jin4,zhong1)
载笑载言 (zai4,xiao4,zai4,yan2)
折长补短 (zhe2,chang2,bu3,duan3)
尽性 (jin4,xing4)
间不容缕 (jian1,bu4,rong2,lv3)
名帖 (ming2,tie3)
珍藏 (zhen1,cang2)
捣虚撇抗 (dao3,xu1,pie1,kang4)
刨食 (pao2,shi2)
拉长 (la1,chang2)
千载一合 (qian1,zai4,yi1,he2)
怀才不遇 (huai2,cai2,bu1,yu4)
夫子自道 (fu1,zi3,zi4,dao4)
鸿泥雪爪 (hong2,ni2,xue3,zhao3)
尽情 (jin4,qing2)
折子戏 (zhe2,zi3,xi4)
深思远虑 (shen1,si1,yuan3,lv4)
牛星织女 (niu2,xing1,zhi1,nv3)
诸子百家 (zhu1,zi3,bai3,jia1)
透骨酸心 (tou4,gu3,suan1,xin1)
舍近即远 (she3,jin4,ji2,yuan3)
逾墙钻隙 (yu2,qiang2,zuan1,xi4)
尽意 (jin4,yi4)
绝子绝孙 (jue2,zi3,jue2,sun1)
一毛不拔 (yi1,mao2,bu4,ba2)
遣兴陶情 (qian3,xing4,tao2,qing2)
发晕 (fa1,yun1)
五尺竖子 (wu3,chi3,shu4,zi3)
屯子 (tun2,zi3)
长物 (chang2,wu4)
酬功给效 (chou2,gong1,gei3,xiao4)
趿拉 (ta1,la1)
调频 (tiao2,pin2)
甸子 (dian4,zi3)
膝盖骨 (xi1,gai4,gu3)
双杠 (shuang1,gang4)
柳绿花红 (liu3,lv4,hua1,hong2)
拖长 (tuo1,chang2)
舍我其谁 (she3,wo3,qi2,shui2)
蒸笼 (zheng1,long2)
藏奸 (cang2,jian1)
截长补短 (jie2,chang2,bu3,duan3)
利息率 (li4,xi1,lv4)
泥巴 (ni2,ba1)
不识大体 (bu4,shi2,da4,ti3)
有胆有识 (you3,dan3,you3,shi2)
长辔远御 (chang2,pei4,yuan3,yu4)
无所不尽其极 (wu2,suo3,bu4,jin4,qi2,ji2)
灰身粉骨 (hui1,shen1,fen3,gu3)
孝子顺孙 (xiao4,zi3,shun4,sun1)
读不舍手 (du2,bu4,she3,shou3)
呱呱 (gu1,gu1)
铮铮铁骨 (zheng1,zheng1,tie3,gu3)
揎腕攘臂 (xuan1,wan4,rang3,bi4)
笑咧咧 (xiao4,lie1,lie1)
勺状软骨 (shao2,zhuang4,ruan3,gu3)
五尺童子 (wu3,chi3,tong2,zi3)
钻谋 (zuan1,mou2)
阴干 (yin1,gan1)
鸽子笼 (ge1,zi5,long2)
雕蚶镂蛤 (diao1,han1,lou4,ge2)
吾子 (wu2,zi3)
挑选 (tiao1,xuan3)
黑发 (hei1,fa1)
丰肌秀骨 (feng1,ji1,xiu4,gu3)
引绳切墨 (yin3,sheng2,qie1,mo4)
颜精柳骨 (yan2,jing1,liu3,gu3)
舍近求远 (she3,jin4,qiu2,yuan3)
骨腾肉飞 (gu3,teng2,rou4,fei1)
长生 (chang2,sheng1)
